,Open,GBM_lower_bound,GBM_upper_bound,Year,Month,Day,Close
84,21706.15,21478.921953788264,21898.830304520667,2024,1,20,21571.80
85,21615.2,21441.483634838674,21868.291379275346,2024,1,19,21622.40
86,21414.2,21208.631950887207,21610.499092295722,2024,1,18,21462.25
87,21647.25,21443.094729917786,21865.619069340744,2024,1,17,21571.95
88,22080.5,21867.075911582964,22328.792951932206,2024,1,16,22032.30
89,22053.15,21833.069268049392,22293.45987242911,2024,1,15,22097.45
90,21773.55,21560.45709383637,21981.375113903345,2024,1,12,21894.55
91,21688.0,21472.962436048485,21908.610137475076,2024,1,11,21647.20
92,21529.3,21309.23194449134,21733.075205414523,2024,1,10,21618.70
93,21653.6,21442.78339731923,21869.844288926004,2024,1,9,21544.85
94,21747.6,21534.847690749066,21964.85541834314,2024,1,8,21513.00
95,21705.75,21508.29819182893,21946.16977191457,2024,1,5,21710.80
96,21605.8,21427.223811295513,21853.005685173568,2024,1,4,21658.60
97,21661.1,21458.319188957536,21869.591546567666,2024,1,3,21517.35
98,21751.35,21540.783145943253,21979.28223020133,2024,1,2,21665.80
99,21727.75,21512.686066538707,21931.674708271563,2024,1,1,21741.90
100,21737.65,21498.313141417424,21942.45012969324,2023,12,29,21731.40
101,21715.0,21479.571967532407,21930.588837183284,2023,12,28,21778.70
102,21497.65,21271.9878602662,21697.654393743047,2023,12,27,21654.75
103,21365.2,21172.67764365148,21588.04628929556,2023,12,26,21441.35
104,21295.85,21076.98218455319,21505.099387900405,2023,12,22,21349.40
105,21033.95,20847.26730059947,21265.444250929573,2023,12,21,21255.05
106,21543.5,21332.880813494674,21768.404770857425,2023,12,20,21150.15
107,21477.65,21305.67512801408,21735.12362309747,2023,12,19,21453.10
108,21434.8,21220.4830620705,21632.575757476865,2023,12,18,21418.65
109,21287.45,21083.368325511194,21498.36698853576,2023,12,15,21456.65
110,21110.4,20920.443042723342,21318.799356029536,2023,12,14,21182.70
111,20929.75,20717.137791646273,21134.74687544406,2023,12,13,20926.35
112,21018.55,20816.641219989226,21227.880501673702,2023,12,12,20906.40
113,20965.3,20765.209133795535,21171.467652759853,2023,12,11,20997.10
114,20934.1,20741.960789051383,21150.326903666657,2023,12,8,20969.40
115,20932.4,20716.70627717469,21143.867813003715,2023,12,7,20901.15
116,20950.75,20760.772430220542,21184.246244002978,2023,12,6,20937.70
117,20808.9,20617.982969728586,21044.620762622693,2023,12,5,20855.10
118,20601.95,20422.12142201025,20834.12638224729,2023,12,4,20686.80
119,20194.1,20010.472182301688,20409.221946192185,2023,12,1,20267.90
120,20108.5,19910.25608126088,20317.49115377899,2023,11,30,20133.15
121,19976.55,19794.921457146804,20182.647352674507,2023,11,29,20096.60
122,19844.65,19658.232896978072,20041.686674043234,2023,11,28,19889.70
123,19809.6,19629.1948420635,19995.79323960898,2023,11,24,19794.70
124,19828.45,19678.087271361073,20054.487628199673,2023,11,23,19802.00
125,19784.0,19594.875889010524,19971.143832126676,2023,11,22,19811.85
126,19770.9,19595.862586446034,19966.199543201692,2023,11,21,19783.40
127,19731.15,19544.4870834414,19943.665882877096,2023,11,20,19694.00
128,19674.75,19471.591741840653,19881.932704971492,2023,11,17,19731.80
129,19674.7,19482.32966091911,19859.543218680552,2023,11,16,19765.20
130,19651.4,19458.677519880148,19859.52294266937,2023,11,15,19675.45
131,19486.75,19303.64691869305,19678.92675259438,2023,11,13,19443.55
132,19547.25,19377.140462903404,19758.988648209794,2023,11,12,19525.55
133,19351.85,19169.223326035182,19550.120953286943,2023,11,10,19425.35
134,19457.4,19287.148955792192,19666.093446718227,2023,11,9,19395.30
135,19449.6,19274.591043233384,19654.10239217078,2023,11,8,19443.50
136,19404.05,19215.042037029572,19589.521400129444,2023,11,7,19406.70
137,19345.85,19168.9833624616,19530.384761554433,2023,11,6,19411.75
138,19241.0,19047.998095114242,19419.992504629976,2023,11,3,19230.60
139,19120.0,18946.322439880765,19308.03281889564,2023,11,2,19133.25
140,19064.05,18878.66873255734,19265.006494914604,2023,11,1,18989.15
141,19232.95,19036.21037869648,19438.86912061601,2023,10,31,19079.60
142,19053.4,18883.423279719034,19242.906748434758,2023,10,30,19140.90
143,18928.75,18741.68213062343,19111.224878029578,2023,10,27,19047.25
144,19027.25,18850.19178670563,19239.058641907202,2023,10,26,18857.25
145,19286.45,19096.77639788411,19488.302317587728,2023,10,25,19122.15
146,19521.6,19341.916707721342,19742.165633482597,2023,10,23,19281.75
147,19542.15,19358.371742281633,19735.28732477469,2023,10,20,19542.65
148,19545.2,19356.191128983624,19741.05650866017,2023,10,19,19624.70
149,19820.45,19649.082983463497,20026.99862464699,2023,10,18,19671.10
150,19843.2,19630.574574458733,20052.496618886686,2023,10,17,19811.50
151,19737.25,19550.92823711583,19932.454847900957,2023,10,16,19731.75
152,19654.55,19481.056192355394,19865.01965823153,2023,10,13,19751.05
153,19822.7,19645.609790121576,20054.03566101488,2023,10,12,19794.00
154,19767.0,19587.417520884705,19960.71880720949,2023,10,11,19811.35
155,19565.6,19381.675076724314,19764.7940839063,2023,10,10,19689.85
156,19539.45,19358.132759218242,19733.19968577648,2023,10,9,19512.35
157,19621.2,19464.41642241462,19854.674530508575,2023,10,6,19653.50
158,19521.85,19351.4006664618,19727.707901278223,2023,10,5,19545.75
159,19446.3,19268.42121616412,19638.344704559473,2023,10,4,19436.10
160,19622.4,19419.536864395435,19808.60884800811,2023,10,3,19528.75
161,19581.2,19393.03697837586,19757.493585834498,2023,9,29,19638.30
162,19761.8,19584.062479765442,19971.50287554798,2023,9,28,19523.55
163,19637.05,19442.221620764147,19835.607426160892,2023,9,27,19716.45
164,19682.8,19507.392343095577,19883.86325110043,2023,9,26,19664.70
165,19678.2,19511.942635666466,19887.433627581435,2023,9,25,19674.55
166,19744.85,19544.64379328524,19930.89593834568,2023,9,22,19674.25
167,19840.55,19641.15230112277,20052.1498290926,2023,9,21,19742.35
168,19980.75,19782.554903192682,20168.913397652614,2023,9,20,19901.40
169,20155.95,19946.8790194326,20354.606650095084,2023,9,18,20133.30
170,20156.45,19973.497161600026,20370.579154060226,2023,9,15,20192.35
171,20127.95,19926.896758015057,20326.983022237768,2023,9,14,20103.10
172,19989.5,19776.25778864904,20186.68941629374,2023,9,13,20070.00
173,20110.15,19946.788740640593,20330.421925775354,2023,9,12,19993.20
174,19890.0,19696.264094365284,20086.51106066213,2023,9,11,19996.35
175,19774.8,19581.759349483404,19968.16483498095,2023,9,8,19819.95
176,19598.65,19403.058465693062,19782.089830925124,2023,9,7,19727.05
177,19581.2,19373.324699608776,19738.408672746158,2023,9,6,19611.05
178,19564.65,19354.108035644233,19742.58663460977,2023,9,5,19574.90
179,19525.05,19348.89152883383,19743.511673997968,2023,9,4,19528.80
180,19258.15,19069.954323084163,19432.549997487575,2023,9,1,19435.30
181,19375.55,19201.260117831476,19574.689128193,2023,8,31,19253.80
182,19433.45,19275.625976948853,19647.736040987438,2023,8,30,19347.45
183,19374.85,19208.71532519971,19605.983872168687,2023,8,29,19342.65
184,19298.35,19122.633767135263,19490.694793239614,2023,8,28,19306.05
185,19297.4,19143.443771083643,19529.11512055972,2023,8,25,19265.80
186,19535.15,19365.885565833003,19739.8511220906,2023,8,24,19386.70
187,19439.2,19251.646831877242,19628.535405520735,2023,8,23,19444.00
188,19417.1,19235.92153340807,19599.77631790065,2023,8,22,19396.45
189,19320.65,19105.481750365925,19497.143222922048,2023,8,21,19393.60
190,19301.75,19110.514477945802,19524.249802058483,2023,8,18,19310.15
191,19450.55,19266.793185570117,19638.572058358044,2023,8,17,19365.25
192,19369.0,19144.495290272498,19535.917224598412,2023,8,16,19465.00
193,19383.95,19199.12237780003,19555.01934175995,2023,8,14,19434.55
194,19554.25,19358.06811966086,19764.559421465554,2023,8,11,19428.30
195,19605.55,19433.034493684358,19803.46319101058,2023,8,10,19543.10
196,19578.8,19405.691818479932,19785.175184092474,2023,8,9,19632.55
197,19627.2,19440.4426934503,19814.574529828566,2023,8,8,19570.85
198,19576.85,19390.92194554306,19763.449799206977,2023,8,7,19597.30
199,19462.8,19284.52903061485,19663.870772144528,2023,8,4,19517.00
200,19463.75,19275.69258850879,19678.60594774194,2023,8,3,19381.65
201,19655.4,19478.61708694054,19876.882386233257,2023,8,2,19526.55
202,19784.0,19594.69461894098,19980.639396690975,2023,8,1,19733.55
203,19666.35,19466.134869957623,19862.07725062596,2023,7,31,19753.80
204,19659.75,19500.369183601066,19882.374706923416,2023,7,28,19646.05
205,19850.9,19679.27878073372,20073.565003996086,2023,7,27,19659.90
206,19733.35,19522.615090023344,19914.9532910327,2023,7,26,19778.30
207,19729.35,19542.73354462519,19919.082445441454,2023,7,25,19680.60
208,19748.45,19545.337653601597,19932.781287026337,2023,7,24,19672.35
209,19800.45,19613.252909743445,20005.34328159984,2023,7,21,19745.00
210,19831.7,19634.027835629364,20034.55211476484,2023,7,20,19979.15
211,19802.95,19628.090938833997,20021.42134933456,2023,7,19,19833.15
212,19787.5,19618.0897571338,20009.383566079196,2023,7,18,19749.25
213,19612.15,19430.424440438852,19824.063237707815,2023,7,17,19711.45
214,19493.45,19295.11219812579,19673.13807909292,2023,7,14,19564.50
215,19495.2,19322.795921645127,19702.779011584724,2023,7,13,19413.75
216,19497.45,19287.565129331153,19659.387949983713,2023,7,12,19384.30
